attention meditation delta theta velocity
1 34 931854 85874 0 
1 30 2123567 135389 0 
1 17 1369426 343425 0 
17 66 2518752 36469 9,995003 
34 84 66206 11469 9,995003 
23 64 925005 484126 9,995003 
21 51 634411 144946 9,995003 
14 27 82812 134609 9,995003 
8 47 614991 226014 9,995003 
29 53 1677040 47478 9,995003 
24 47 1058091 677735 9,995003 
4 51 2458631 352302 9,995003 
21 78 189169 127192 9,995003 
29 57 188438 107662 9,995003 
50 48 438192 12790 9,995003 
61 23 957065 239831 9,995003 
51 1 79209 268408 10,0622 
40 20 1128251 177803 9,995003 
27 37 304984 429661 9,995003 
41 41 356274 22059 9,995003 
44 43 464996 131505 9,995003 
57 44 196213 90659 9,995003 
53 26 189851 45233 9,995003 
54 40 246576 56407 9,995003 
53 41 141641 46800 9,995003 
40 30 1065364 309246 9,995003 
24 40 590680 58044 9,995003 
10 38 45422 46991 9,995003 
1 14 154236 118660 9,995003 
4 48 1478272 125073 9,995003 
1 29 1302393 375360 9,995003 
21 60 198152 9180 9,995003 
30 50 698557 68734 9,995003 
44 60 616701 85947 9,995003 
50 80 245433 31138 9,995003 
37 69 576131 160716 9,995003 
24 40 739417 220038 9,995003 
17 29 209134 98412 9,995003 
29 35 686565 27189 9,995003 
37 35 730931 18462 9,995003 
47 56 626233 28282 9,995003 
53 48 777546 265211 9,995003 
48 40 25898 36155 9,995003 
48 44 835433 122588 9,995003 
56 69 1015806 13995 9,995003 
63 96 915307 13141 9,995003 
48 66 227183 58375 10,29222 
21 34 1220297 421129 9,995003 
7 10 554544 238014 9,995003 
29 7 94151 15648 9,995003 
41 16 85980 5981 9,995003 
54 21 483069 324288 9,995003 
56 23 810786 211173 9,995003 
50 38 680210 41824 9,995003 
50 23 777749 146810 9,995003 
48 41 130104 31622 9,995003 
38 27 605178 261492 9,995003 
38 27 1240545 120917 9,995003 
38 27 2261720 268446 9,995003 
26 23 1282777 134361 9,995003 
17 29 870561 164804 9,995003 
21 26 1069740 50542 9,995003 
30 26 793559 135567 9,995003 
37 30 1386976 92617 9,995003 
27 17 586317 194597 9,995003 
35 30 667577 80774 9,995003 
50 27 2480271 191172 9,995003 
29 20 3657 40260 9,995003 
41 26 788056 48814 9,995003 
38 27 1483190 228976 9,995003 
24 40 913594 127864 9,995003 
34 50 1537262 378399 9,995003 
35 56 745182 241704 9,995003 
38 47 940762 89912 9,995003 
51 41 624299 27937 9,995003 
40 37 771822 116965 9,995003 
34 23 265882 129820 9,995003 
29 37 2120427 556081 9,995003 
23 37 628667 223194 9,995003 
43 27 708049 103368 9,995003 
43 27 708524 231867 9,995003 
43 27 19 9 9,995003 
43 27 1 0 9,995003 
38 48 199818 60737 9,995003 
38 48 534814 109355 9,995003 
38 44 554826 41773 9,995003 
34 44 597528 22315 9,995003 
23 54 1504205 462881 9,995003 
21 17 463327 59371 9,995003 
38 7 938281 32869 9,995003 
44 14 1974518 159758 9,995003 
40 35 1032747 418054 9,995003 
30 37 1390658 633715 9,995003 
20 41 497454 81603 9,995003 
16 34 1096764 416121 9,995003 
35 41 2222165 98765 9,995003 
41 38 842612 39709 9,995003 
44 44 1063801 49841 0 
47 44 1263471 521598 9,995003 
43 29 410219 103480 9,995003 
48 34 150894 49418 9,995003 
41 37 600316 198534 9,995003 
44 48 273094 8361 9,995003 
35 57 1791897 281182 9,995003 
35 44 82247 18733 9,995003 
48 20 736210 52518 9,995003 
44 11 324877 91747 9,995003 
37 34 627204 56057 9,995003 
35 47 488505 80759 9,995003 
17 51 246882 246756 9,995003 
29 50 1834030 128597 9,995003 
40 53 1580966 88904 9,995003 
30 30 1547095 696563 9,995003 
34 47 282035 155683 0 
17 29 111206 67749 9,995003 
8 37 435049 242338 9,995003 
17 53 1239059 150138 9,995003 
16 47 678437 36851 9,995003 
24 66 542980 49897 9,995003 
21 41 339630 50294 9,995003 
26 47 119744 15089 9,995003 
35 41 606555 43209 9,995003 
44 43 757840 154785 9,995003 
66 64 1124550 73719 9,995003 
54 63 838220 162598 10,13188 
61 69 1134662 18408 9,995003 
34 57 11413 69485 10,23372 
51 57 414621 51428 9,995003 
41 41 547813 498395 9,995003 
53 51 898932 39658 9,995003 
67 66 1498476 98310 9,995003 
64 50 141951 28830 10,13492 
81 63 524689 51265 10,27782 
75 54 578817 65808 10,9843 
80 51 1678532 55065 11,13249 
84 64 451375 55444 10,44777 
69 57 681750 259908 11,24434 
67 56 109847 24720 11,40175 
60 51 602882 130316 11,5498 
48 44 637197 95891 10,78536 
63 44 331893 106371 10,04136 
67 54 123211 31188 10,18804 
69 53 1299074 58757 10,33066 
64 51 509304 176504 10,47737 
50 50 780752 256036 10,61449 
48 43 212244 33850 9,995003 
48 48 519892 113784 9,995003 
54 57 236522 54512 9,995003 
57 63 175932 77641 9,995003 
64 60 139933 34538 9,995003 
53 69 75282 68215 10,14201 
56 69 212970 74436 9,995003 
74 60 304151 58246 9,995003 
50 74 136540 100180 10,14709 
66 69 452444 89863 9,995003 
61 63 80185 182464 10,14506 
51 87 265433 12573 10,28296 
61 60 1989962 114622 9,995003 
61 70 195682 60423 10,13289 
57 70 208513 30977 10,27166 
57 78 1468551 87197 0 
53 77 179065 47928 0 
35 81 1503339 222838 0 
17 56 356360 172810 0 
13 50 162126 42774 0 
14 50 280893 72662 0 
21 40 432177 68470 0 
38 50 1208906 104714 0 
30 53 2049848 185044 0 
30 53 2049848 185044 0 
20 40 1408974 558179 0 
20 40 1408974 558179 0 
23 37 1757847 142560 0 
23 37 1757847 142560 0 
21 37 148444 88223 0 
21 37 148444 88223 0 
34 34 1535975 152528 0 
34 34 1535975 152528 0 
38 57 259595 17750 0 
29 54 329733 233004 0 
20 48 1344531 187933 0 
23 51 320376 153269 0 
35 57 1111469 144092 0 
41 63 1422356 73272 0 
43 77 164277 95929 0 
56 64 767261 91624 0 
47 63 145262 294773 0 
34 37 1359759 476035 0 
37 26 265444 96506 0 
27 29 2516039 183456 0 
47 34 892559 17041 0 
50 61 2640406 183370 0 
53 57 120908 22795 0 
53 50 519306 159040 0 
56 43 219533 78105 0 
54 43 1086615 28044 0 
51 47 280356 116212 0 
54 63 960159 91724 0 
30 53 424431 398647 0 
27 38 873748 77479 0 
23 44 397881 32123 0 
14 34 565072 160111 0 
24 50 346955 58307 0 
40 64 157245 20236 0 
37 60 864911 166154 0 
44 48 1528586 129188 0 
44 44 147665 75079 0 
53 47 108945 11005 0 
51 41 217985 312455 0 
66 51 133671 13559 0 
61 41 328365 240168 0 
47 20 183116 42673 0 
57 37 1039133 30695 0 
51 51 305154 15300 0 
56 60 1061265 88629 0 
63 74 720493 156335 0 
63 57 427026 25750 0 
29 48 294388 217125 0 
29 35 253388 105019 0 
35 30 87363 39284 0 
48 41 84206 95005 0 
43 35 2151248 328120 0 
41 43 5471 21585 0 
78 61 33596 32188 0 
54 66 478797 68683 0 
51 75 824927 168926 0 
51 75 281068 20920 0 
57 67 61634 9434 0 
48 51 170540 89016 0 
60 53 37108 14914 0 
70 48 318152 37172 0 
70 47 346270 6442 0 
60 50 281568 256022 0 
50 34 685958 80229 0 
27 29 224470 58004 0 
17 26 817317 56777 0 
29 38 128933 81585 0 
27 44 491756 245012 0 
30 51 1831980 363836 0 
24 43 652616 185154 0 
24 44 173692 25637 0 
23 41 1337073 209689 0 
40 47 225385 30639 0 
50 51 941231 49424 0 
64 60 223951 15040 0 
57 66 85614 38842 0 
60 78 69064 32601 0 
64 60 129754 78554 0 
66 60 43013 15826 0 
75 43 168883 56062 0 
75 43 16940 19556 0 
70 64 687383 35983 0 
14 38 1142233 69775 0 
17 60 2154399 90817 0 
24 56 1043187 95827 0 
38 51 85436 85767 0 
37 35 784594 315739 0 
34 41 1209604 341465 0 
30 40 525724 86750 0 
43 67 81618 12567 0 
53 81 41407 12589 0 
51 93 42868 24849 0 
54 97 11329 41777 0 
47 100 27095 24826 0 
40 96 213354 37926 0 
43 100 18396 11362 0 
40 87 126323 149288 0 
41 78 12656 31556 0 
43 81 65836 11051 0 
51 69 3869 3780 0 
78 66 672 1939 0 
91 57 3780 5708 0 
97 56 3502 10713 0 
96 63 3714 3956 0 
84 74 12144 5986 0 
75 87 24170 9253 0 
69 88 87301 22467 0 
17 43 215363 23118 0 
24 44 197209 81145 0 
20 40 1073688 278684 0 
26 53 379966 5670 0 
23 56 92613 20823 0 
23 50 425879 150859 0 
37 37 287607 89127 0 
41 23 343223 51724 0 
44 29 775174 110775 0 
47 40 133640 21702 0 
40 50 119655 38392 0 
41 44 580685 60850 0 
41 37 123500 41284 0 
40 47 297358 82232 0 
37 40 511270 98567 0 
27 54 217112 104496 0 
29 63 1791861 72100 0 
34 61 1584378 111763 0 
37 69 337871 68200 0 
37 63 1325109 74590 0 
30 69 1534085 25902 0 
27 63 825501 149628 0 
27 40 1051304 221380 0 
27 30 303094 188286 0 
34 30 94281 16727 0 
34 38 170610 55884 0 
44 43 116589 14550 0 
40 43 285258 73702 0 
34 54 577921 89680 0 
27 54 131160 34664 0 
30 53 230373 57340 0 
40 53 1080607 34071 0 
44 47 386631 15942 0 
53 51 322359 87981 0 
37 44 319739 105368 0 
40 38 47682 68223 0 
44 51 245334 30702 0 
43 38 1545334 62935 0 
54 56 319832 20252 0 
